x,y,elevation,banking,w_tr_right_m,w_tr_left_m
-23.686267,273.121992,0.0,0.0,5.733,5.738
-19.350305,270.638791,0.0,0.0,5.732,5.666
-15.033291,268.123205,0.0,0.0,5.732,5.595
-10.735713,265.57482,0.0,0.0,5.701,5.555
-6.458057,262.993223,0.0,0.0,5.622,5.564
-2.20081,260.377998,0.0,0.0,5.543,5.574
2.035539,257.728732,0.0,0.0,5.465,5.584
6.250504,255.04501,0.0,0.0,5.386,5.594
10.443598,252.32642,0.0,0.0,5.3,5.567
14.614348,249.572572,0.0,0.0,5.209,5.515
18.762881,246.784115,0.0,0.0,5.118,5.464
22.890123,243.963076,0.0,0.0,5.026,5.413
26.997055,241.111577,0.0,0.0,4.935,5.361
31.084655,238.231741,0.0,0.0,4.844,5.31
35.153904,235.325689,0.0,0.0,4.765,5.232
39.205782,232.395544,0.0,0.0,4.749,5.005
43.24127,229.443428,0.0,0.0,4.733,4.778
47.261347,226.471462,0.0,0.0,4.718,4.551
51.266993,223.48177,0.0,0.0,4.739,4.459
55.259189,220.476473,0.0,0.0,4.828,4.611
59.238922,217.457698,0.0,0.0,4.916,4.764
63.208871,214.428469,0.0,0.0,4.976,4.913
67.175583,211.393869,0.0,0.0,4.956,5.054
71.145738,208.358841,0.0,0.0,4.936,5.194
75.109553,205.311118,0.0,0.0,4.9,5.282
79.035395,202.215583,0.0,0.0,4.809,5.188
82.891651,199.037298,0.0,0.0,4.719,5.093
86.670385,195.7685,0.0,0.0,4.629,4.998
90.382277,192.422798,0.0,0.0,4.538,4.904
94.038209,189.01409,0.0,0.0,4.509,4.864
97.646766,185.5541,0.0,0.0,4.534,4.87
101.215443,182.053478,0.0,0.0,4.558,4.877
104.750006,178.519797,0.0,0.0,4.582,4.884
108.253948,174.956552,0.0,0.0,4.607,4.891
111.7306,171.366959,0.0,0.0,4.631,4.898
115.183296,167.754234,0.0,0.0,4.655,4.905
118.61537,164.12159,0.0,0.0,4.661,4.901
122.030156,160.472244,0.0,0.0,4.667,4.897
125.430985,156.809411,0.0,0.0,4.674,4.893
128.821192,153.136305,0.0,0.0,4.68,4.89
132.204111,149.456143,0.0,0.0,4.686,4.886
135.583074,145.77214,0.0,0.0,4.692,4.882
138.96141,142.087506,0.0,0.0,4.698,4.878
142.341424,138.404468,0.0,0.0,4.705,4.874
145.723083,134.723008,0.0,0.0,4.711,4.871
